,Year,rang_age,popfemale_in_thsnd,pop_in_thsnd,Percent_fem_noeduc,Percent_pop_noeduc,pop_homme_thsnd_noeduc,percent_homme_noeduc,new_col
53,1995,30-34,998,1931.0,68.82,55.79,390.4813000000002,20.22171413775247,686.8235999999999
54,1995,35-39,870,1715.0,75.56,60.39,378.3165000000001,22.059271137026244,657.3720000000001
55,1995,40-44,670,1330.0,80.8,65.48,329.5240000000001,24.77624060150377,541.36
56,1995,45-49,499,973.0,84.88,74.7,303.2798000000001,31.16955806783146,423.5512
57,1995,50-54,388,718.0,93.06,86.86,262.58200000000005,36.571309192200566,361.07280000000003
58,1995,55-59,415,736.0,93.06,86.86,253.09059999999997,34.387309782608696,386.199
59,1995,60-64,302,572.0,97.36,93.56,241.136,42.15664335664336,294.0272
60,2000,15-19,1622,3296.0,50.81,47.29,734.5401999999999,22.28580703883495,824.1382
61,2000,20-24,1462,2970.0,50.75,37.39,368.51800000000003,12.40801346801347,741.9650000000001
62,2000,25-29,1280,2576.0,52.15,38.19,316.25439999999986,12.276956521739125,667.52
63,2000,30-34,1088,2190.0,60.15,47.19,379.02899999999994,17.3072602739726,654.432
64,2000,35-39,975,1877.0,68.82,55.79,376.18330000000003,20.041731486414495,670.9949999999999
65,2000,40-44,850,1669.0,75.56,60.39,365.64910000000003,21.908274415817857,642.26
66,2000,45-49,653,1289.0,80.8,65.48,316.4132,24.54718386346005,527.6239999999999
67,2000,50-54,484,935.0,84.88,74.7,287.6258,30.76211764705883,410.8192
68,2000,55-59,372,681.0,93.06,86.86,245.33339999999995,36.02546255506607,346.18320000000006
69,2000,60-64,391,683.0,93.06,86.86,229.3892,33.585534407027815,363.86460000000005
70,2005,15-19,1605,3262.0,36.26,35.12,563.6414,17.279012875536477,581.973
71,2005,20-24,1589,3217.0,47.41,36.17,410.2440000000001,12.752377991917937,753.3448999999999
72,2005,25-29,1423,2874.0,50.75,37.39,352.41610000000003,12.26221642310369,722.1725000000001
73,2005,30-34,1246,2493.0,52.15,38.19,302.2877,12.125459286000801,649.789
74,2005,35-39,1061,2125.0,60.15,47.19,364.596,17.15745882352941,638.1915
75,2005,40-44,953,1824.0,68.82,55.79,361.755,19.833059210526315,655.8545999999999
76,2005,45-49,830,1620.0,75.56,60.39,351.17,21.67716049382716,627.148
77,2005,50-54,634,1241.0,80.8,65.48,300.3348000000001,24.201031426269147,512.2719999999999
78,2005,55-59,465,889.0,84.88,74.7,269.3910000000001,30.302699662542192,394.692
79,2005,60-64,351,632.0,93.06,86.86,222.31459999999996,35.17636075949366,326.6406
80,2010,15-19,1573,3198.0,21.95,24.67,443.67310000000003,13.873455284552847,345.2735
81,2010,20-24,1577,3194.0,32.86,24.0,248.3578,7.775760801502818,518.2022000000001
82,2010,25-29,1555,3133.0,47.41,36.17,395.9806000000001,12.639023300351104,737.2254999999999
83,2010,30-34,1393,2800.0,50.75,37.39,339.9725,12.141875,706.9475000000001
84,2010,35-39,1222,2434.0,52.15,38.19,292.2716,12.007871815940838,637.2729999999999
85,2010,40-44,1041,2076.0,60.15,47.19,353.5029,17.028078034682082,626.1615
86,2010,45-49,934,1779.0,68.82,55.79,349.7253000000001,19.6585328836425,642.7787999999999
87,2010,50-54,810,1569.0,75.56,60.39,335.48310000000004,21.381969407265778,612.0360000000001
88,2010,55-59,613,1187.0,80.8,65.48,281.94360000000006,23.752620050547606,495.304
89,2010,60-64,441,830.0,84.88,74.7,245.68920000000006,29.601108433734947,374.3208
